environment,slab,eta_ORR_V,PDS,provenance
vacuum,mp-126_111,0.8240,O*→OH*,Stage III OC25/eSEN Pt(111) manuscript benchmark
solvent,mp-126_111,0.8320,O*→OH*,Stage III OC25/eSEN Pt(111) manuscript benchmark
