    #         X           Y           Z       CHARGE      MIN DIST   ATOMIC VOL
 --------------------------------------------------------------------------------
    1    2.797173    1.614955   14.740141   11.213926     0.749140   105.756690
    2    8.391530    1.614955   14.740141   11.213235     0.749140   105.751614
    3    5.594351    6.459810   14.740141   11.213248     0.749140   105.754998
    4   -2.797173    8.074755   23.875719   11.223993     0.671316    14.109859
    5   -2.797178    4.844855   19.307950   11.178594     0.631087    13.971967
    6   -0.000006    6.459810   14.740141   11.213147     0.749140   105.754152
    7    0.000000    0.000000   19.307950   11.179565     0.631087    13.976197
    8    2.797184    8.074755   23.875719   11.225555     0.671316    14.115781
    9    5.594357    0.000000   19.307950   11.178123     0.631087    13.970275
   10    5.594363    3.229900   23.875719   11.225294     0.671316    14.114935
   11    2.797178    4.844855   19.307950   11.178165     0.631087    13.970275
   12    0.000006    3.229900   23.875719   11.224772     0.671316    14.112397
   13    9.790130    0.807473   23.875719    9.955166     0.879767    15.760338
   14    6.992946    2.422427   19.307950   10.055324     1.021337    16.158788
   15    5.594351    1.614955   14.740141    9.989062     1.068930   109.560151
   16    8.391541    3.229900   23.875719    9.844229     0.802650    15.292519
   17    5.594357    4.844855   19.307950    9.905467     0.742277    15.558998
   18    6.992941    4.037382   14.740141    9.988426     0.679278   108.897760
   19    6.992952    0.807473   23.875719    9.778355     0.751783    15.193541
   20   -1.398589    2.422427   19.307950    9.868565     0.896949    15.348353
   21   -1.380609    2.432427   26.140631   10.101291     0.940989   102.014984
   22    6.992941    4.037382   21.591814   10.046171     1.011369    15.970983
   23    6.992952    0.807473   17.024046    9.910854     0.905490    15.574226
   24    5.594055    4.824390   26.140590   10.083686     1.103718   100.317131
   25    5.594351    1.614955   21.591814   10.099636     0.937459    16.264533
   26    8.391541    3.229900   17.024046    9.920992     0.824085    15.576763
   27    8.391530    1.614955   21.591814   10.110497     1.011369    15.931223
   28    5.594363    3.229900   17.024046   10.008122     0.781082    15.624983
   29    4.195762    4.037382   14.740141   10.040623     0.679278   109.980595
   30    9.790130    0.807473   17.024046    9.813480     0.949508    15.128402
   31    8.391535    0.000000   19.307950    9.905242     0.742277    15.558998
   32    6.975548    2.432931   26.140590    9.798205     0.962042   103.427746
   33    4.195762    8.882237   14.740141    9.986247     0.679278   108.875765
   34    4.195773    5.652328   23.875719    9.776163     0.751783    15.186773
   35   -4.195768    7.267283   19.307950    9.869523     0.896949    15.351737
   36   -4.177911    7.277127   26.140631   10.100837     0.940866   102.018368
   37    4.195762    8.882237   21.591814   10.045542     1.011369    15.966754
   38    4.195773    5.652328   17.024046    9.911033     0.905490    15.575071
   39    2.796921    9.669303   26.140549   10.083299     1.103757   100.318823
   40    2.797173    6.459810   21.591814   10.098047     0.937459    16.259458
